"HEURISTIC","EXPANDED","GENERATED","TIME"
"_heuristicNone","1526","1719","365.10484469123185"
"_heuristicLineDist","81","319","24.381060672923923"
"_heuristicShortestPath","76","310","23.14094888418913"
"_heuristicTrmpp","74","305","420.06251057237387"
