"HEURISTIC","EXPANDED","GENERATED","TIME"
"_heuristicNone","345","1042","88.80277817696333"
"_heuristicLineDist","19","133","7.1319843009114265"
"_heuristicShortestPath","19","133","7.060472805052996"
"_heuristicTrmpp","19","133","213.34178267233074"
