CABLE-LENGTH,EXPANDED,GENERATED,TIME,PATH-A-L,PATH-B-L,CABLE-L,PATH-A,PATH-B,CABLE
264,132,589,19.7707566,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
266,133,595,20.075755,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
268,135,602,20.2576147,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
270,136,607,21.0258464,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
272,136,609,21.6209566,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
274,138,615,20.6792722,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
276,140,629,20.7229616,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
278,141,642,20.7413878,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
280,144,657,21.4128108,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
282,145,674,21.4574113,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
284,149,687,23.8419622,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
286,153,696,25.1993153,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
288,156,710,24.8639496,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
290,157,716,23.6541692,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
292,157,723,24.2149483,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
294,158,729,24.9507935,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
296,159,735,24.072396,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
298,161,745,25.4443343,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
300,161,752,26.7964896,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
302,163,761,25.9283092,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
304,164,764,25.4404713,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
306,165,774,25.1450873,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
308,169,790,26.6365385,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
310,172,800,24.7689267,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
312,173,807,26.3154331,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
314,174,814,25.4752418,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
316,175,820,25.217034,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
318,176,827,26.1517061,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
320,177,836,28.3815447,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
322,179,842,27.7293489,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
324,179,849,26.0702372,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
326,181,858,26.8346695,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
328,184,873,29.3278128,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
330,185,887,26.428514,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
332,187,901,27.9274742,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
334,190,907,27.8187356,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
336,191,916,28.0941892,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
338,193,932,30.1962398,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
340,194,942,28.0842263,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
342,194,947,28.9340204,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
344,195,954,30.7242356,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
346,195,957,28.123035,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
348,197,963,27.6730476,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
350,28,314,4.2747693,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
352,28,317,4.2614309,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
354,28,318,4.2563134,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
356,28,318,4.3478577,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
358,28,322,4.4609967,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
360,28,323,4.5381162,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
362,29,328,4.7997039,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
364,30,332,4.6696566,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
366,30,332,4.7606655,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
368,30,333,5.8541811,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
370,30,333,4.827385,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
372,30,333,4.7110724,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
374,31,337,4.7945041,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
376,32,340,4.7180682,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
378,34,344,5.1107404,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
380,34,345,5.6084231,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
382,34,345,5.098795,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
384,34,347,4.9017377,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
386,34,348,5.5499375,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
388,34,348,5.3358886,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
390,34,348,4.8861517,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
392,34,349,4.9850388,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
394,34,351,4.8757818,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
396,34,351,5.0655124,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
398,34,351,5.9493602,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
400,34,352,5.3127374,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
402,34,352,4.9315402,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
404,34,353,4.9897659,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
406,34,354,4.9138635,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
408,34,356,4.8585786,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
410,34,356,5.0028963,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
412,34,359,4.803548,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
414,34,360,4.9224319,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
416,34,361,4.9613208,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
418,34,362,4.9911229,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
420,34,363,4.8379393,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
422,34,363,4.7948123,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
424,34,364,4.7983208,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
426,34,367,4.829265,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
428,34,369,4.7940889,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
430,34,369,5.0119176,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
432,36,373,5.0206396,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
434,36,374,6.3636232,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
436,36,374,5.4618122,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
438,36,374,5.3336921,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
440,36,374,5.4781429,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
442,36,374,5.527405,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
444,36,375,5.4536611,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
446,36,375,5.3526791,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
448,36,376,5.3922431,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
