"CABLE LENGTH","EXPANDED","GENERATED","TIME","PATH-A-L","PATH-B-L","CABLE-L","PATH-A","PATH-B","CABLE"
"345","195","955","27.795974499999943","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"350","28","314","4.4405067000000145","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"355","28","318","4.58982780000008","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"360","28","323","4.259526299999948","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"365","30","332","4.5215283","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"370","30","333","4.609008199999948","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"375","31","339","4.602541599999995","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"380","34","345","4.794523799999979","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"385","34","347","4.810894200000007","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"390","34","348","4.954644300000041","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"395","34","351","4.9882138000000396","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"400","34","352","4.811176900000078","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"405","34","354","4.861609899999962","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"410","34","356","4.8727561000000605","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"415","34","361","4.94532079999999","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"420","34","363","4.871794000000023","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"425","34","364","4.944329499999981","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"430","34","369","4.981149500000015","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"435","36","374","5.057587200000057","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"440","36","374","4.946977400000037","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"445","36","375","5.2224844999999505","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"450","36","376","5.0626876999999695","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"455","36","377","4.951108100000056","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"460","37","379","4.946333800000048","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"465","37","380","4.883145099999979","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"470","37","380","4.976114300000063","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"475","12","129","1.1911863000000267","277.7134253506677","275.80618316798723","473.56693723712215","[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
"480","12","130","1.1654700999999932","277.7134253506677","275.80618316798723","473.56693723712215","[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
"485","12","131","1.2045366999999487","277.7134253506677","275.80618316798723","473.56693723712215","[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
"490","12","131","1.1359681000000137","277.7134253506677","275.80618316798723","473.56693723712215","[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
"495","12","132","1.170883099999969","277.7134253506677","275.80618316798723","473.56693723712215","[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
"500","12","132","1.201402499999972","277.7134253506677","275.80618316798723","473.56693723712215","[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
"505","12","132","1.1761510000000044","277.7134253506677","275.80618316798723","473.56693723712215","[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
